year,eea_cell_code,speciesKey,n,min_coord_uncertainty
1912,1kmE5413N3344,7887483,1,1000
1912,1kmE5755N3240,7704804,1,1000
1912,1kmE6007N3954,6267761,1,1000
1912,1kmE6008N3953,8062758,1,1000
1912,1kmE6008N3954,7887483,1,1000
1912,1kmE6008N3955,7887483,1,1000
1912,1kmE6025N3383,7659055,1,1000
1912,1kmE6037N3846,7878882,1,1000
1912,1kmE6134N4070,9013850,2,1000
1912,1kmE6134N4071,1134093,1,1000
1912,1kmE6134N4071,5001643,1,1000
1912,1kmE6135N4070,4292492,1,1000
1912,1kmE6135N4070,8583922,1,1000
1912,1kmE6135N4070,9013850,1,1000
1912,1kmE6135N4071,9013850,2,1000
1912,1kmE6151N4064,8062758,1,1000
1912,1kmE6525N3139,7878882,1,1000
1912,1kmE6526N3138,4431541,1,1000
1912,1kmE6550N3563,8796936,1,1000
1912,1kmE6642N2866,6268427,1,1000
1913,1kmE4432N3090,4458797,1,1000
1913,1kmE4433N3091,7648359,1,1000
1913,1kmE4434N3091,7648359,1,1000
1913,1kmE4790N3258,4458681,1,1000
1913,1kmE4813N3270,1034064,1,1000
1913,1kmE4813N3270,1034329,1,1000
1913,1kmE4813N3270,1034330,1,1000
1913,1kmE4813N3270,1034441,2,1000
1913,1kmE4813N3270,1035195,4,1000
1913,1kmE4813N3270,1038219,1,1000
1913,1kmE4813N3270,1038313,1,1000
1913,1kmE4813N3270,1038994,1,1000
1913,1kmE4813N3270,1039006,1,1000
1913,1kmE4813N3270,1039017,1,1000
1913,1kmE4813N3270,1044982,1,1000
1913,1kmE4813N3270,1044983,1,1000
1913,1kmE4813N3270,1046849,1,1000
1913,1kmE4813N3270,1047875,2,1000
1913,1kmE4813N3270,1066713,2,1000
1913,1kmE4813N3270,1067409,1,1000
1913,1kmE4813N3270,1068608,1,1000
1913,1kmE4813N3270,1068879,2,1000
1913,1kmE4813N3270,1069185,1,1000
1913,1kmE4813N3270,1082966,2,1000
1913,1kmE4813N3270,1091565,1,1000
1913,1kmE4813N3270,1094700,2,1000
1913,1kmE4813N3270,1164351,3,1000
1913,1kmE4813N3270,1164369,1,1000
1913,1kmE4813N3270,1174232,1,1000
1913,1kmE4813N3270,1184722,1,1000
1913,1kmE4813N3270,1248764,2,1000
1913,1kmE4813N3270,4404556,2,1000
1913,1kmE4813N3270,4425804,1,1000
1913,1kmE4813N3270,4427398,1,1000
1913,1kmE4813N3270,4428164,1,1000
1913,1kmE4813N3270,4432936,5,1000
1913,1kmE4813N3270,4433349,2,1000
1913,1kmE4813N3270,4433355,1,1000
1913,1kmE4813N3270,4433985,1,1000
1913,1kmE4813N3270,4434176,1,1000
1913,1kmE4813N3270,4437965,2,1000
1913,1kmE4813N3270,4438188,1,1000
1913,1kmE4813N3270,4445037,2,1000
1913,1kmE4813N3270,4448375,3,1000
1913,1kmE4813N3270,4448819,1,1000
1913,1kmE4813N3270,4452079,1,1000
1913,1kmE4813N3270,4452680,1,1000
1913,1kmE4813N3270,4453169,2,1000
1913,1kmE4813N3270,4454595,1,1000
1913,1kmE4813N3270,4462027,1,1000
1913,1kmE4813N3270,4463310,1,1000
1913,1kmE4813N3270,4463401,1,1000
1913,1kmE4813N3270,4463445,1,1000
1913,1kmE4813N3270,4463598,1,1000
1913,1kmE4813N3270,4463605,1,1000
1913,1kmE4813N3270,4463758,8,1000
1913,1kmE4813N3270,4469808,1,1000
1913,1kmE4813N3270,4469860,4,1000
1913,1kmE4813N3270,4470031,2,1000
1913,1kmE4813N3270,4470353,1,1000
1913,1kmE4813N3270,4470361,1,1000
1913,1kmE4813N3270,4470363,1,1000
1913,1kmE4813N3270,4470371,2,1000
1913,1kmE4813N3270,4470480,1,1000
1913,1kmE4813N3270,4473903,1,1000
1913,1kmE4813N3270,4989378,1,1000
1913,1kmE4813N3270,4989405,3,1000
1913,1kmE4813N3270,4994000,1,1000
1913,1kmE4813N3270,4996726,1,1000
1913,1kmE4813N3270,5745006,1,1000
1913,1kmE4813N3270,5745389,1,1000
1913,1kmE4813N3270,5752123,1,1000
1913,1kmE4813N3270,5752970,4,1000
1913,1kmE4813N3270,5753548,1,1000
1913,1kmE4813N3270,5753697,1,1000
1913,1kmE4813N3270,5995929,1,1000
1913,1kmE4813N3270,7412769,1,1000
1913,1kmE4813N3270,7576840,2,1000
1913,1kmE4813N3270,7898473,1,1000
1913,1kmE4813N3270,7973415,1,1000
1913,1kmE4813N3270,8174597,1,1000
1913,1kmE4813N3270,9602851,4,1000
1913,1kmE4813N3270,9795476,1,1000
1913,1kmE4813N3271,1034064,2,1000
1913,1kmE4813N3271,1034437,2,1000
1913,1kmE4813N3271,1034441,1,1000
1913,1kmE4813N3271,1034446,1,1000
1913,1kmE4813N3271,1034449,2,1000
1913,1kmE4813N3271,1034454,3,1000
1913,1kmE4813N3271,1035195,4,1000
1913,1kmE4813N3271,1035208,1,1000
1913,1kmE4813N3271,1038219,1,1000
1913,1kmE4813N3271,1039003,1,1000
