kingdom	kingdomkey	phylum	phylumkey	class	classkey	order	orderkey	family	familykey	genus	genuskey	species	specieskey	year	eeacellcode	kingdomcount	phylumcount	classcount	ordercount	familycount	genuscount	occurrences	mintemporaluncertainty	mincoordinateuncertaintyinmeters
Plantae	6	Bryophyta	35	Bryopsida	327	Funariales	1338	Funariaceae	4645	Funaria	2673071	Funaria hygrometrica	5281229	2024	1kmE5078N2150	4	4	4	1	1	1	1	60	2.0
Plantae	6	Bryophyta	35	Bryopsida	327	Funariales	1338	Funariaceae	4645	Funaria	2673071	Funaria hygrometrica	5281229	2024	1kmE5095N2141	1	1	1	1	1	1	1	60	2.0
Plantae	6	Bryophyta	35	Bryopsida	327	Funariales	1338	Funariaceae	4645	Funaria	2673071	Funaria hygrometrica	5281229	2024	1kmE5103N2146	1	1	1	1	1	1	1	60	27723.0
Plantae	6	Bryophyta	35	Bryopsida	327	Funariales	1338	Funariaceae	4645	Funaria	2673071	Funaria hygrometrica	5281229	2024	1kmE5104N2135	1	1	1	1	1	1	1	60	27723.0
Plantae	6	Bryophyta	35	Bryopsida	327	Hypnales	617	Brachytheciaceae	4651	Homalothecium	2673096	Homalothecium sericeum	2673098	2024	1kmE5071N2184	2	2	2	2	1	1	1	1	1.0
Plantae	6	Bryophyta	35	Bryopsida	327	Hypnales	617	Brachytheciaceae	4651	Homalothecium	2673096	Homalothecium sericeum	2673098	2023	1kmE5077N2151	1	1	1	1	1	1	1	60	2.0
Plantae	6	Bryophyta	35	Bryopsida	327	Hypnales	617	Brachytheciaceae	4651	Homalothecium	2673096	Homalothecium sericeum	2673098	2024	1kmE5129N2211	1	1	1	1	1	1	1	1	4.0
Plantae	6	Bryophyta	35	Bryopsida	327	Hypnales	617	Amblystegiaceae	4650	Campylium	2673109	Campylium stellatum	4279903	2016	1kmE5061N2272	2	2	1	1	1	1	1	86400	1000.0
Plantae	6	Bryophyta	35	Bryopsida	327	Hypnales	617	Amblystegiaceae	4650	Campylium	2673109	Campylium stellatum	4279903	2021	1kmE5066N2268	3	3	3	2	2	1	1	86400	1000.0
Plantae	6	Bryophyta	35	Bryopsida	327	Hypnales	617	Amblystegiaceae	4650	Campylium	2673109	Campylium stellatum	4279903	2021	1kmE5067N2267	2	2	2	2	1	1	1	86400	1000.0
Plantae	6	Bryophyta	35	Bryopsida	327	Hypnales	617	Anomodontaceae	4280116	Anomodon	2673119	Anomodon viticulosus	5283423	2023	1kmE5082N2153	4	4	4	2	1	1	1	60	2.0
Plantae	6	Bryophyta	35	Bryopsida	327	Hypnales	617	Anomodontaceae	4280116	Anomodon	2673119	Anomodon viticulosus	5283423	2024	1kmE5104N2248	2	2	2	1	1	1	1	1	1000.0
Plantae	6	Bryophyta	35	Bryopsida	327	Hypnales	617	Amblystegiaceae	4650	Tomentypnum	2673198	Tomentypnum nitens	2680053	2016	1kmE5061N2271	2	2	2	2	1	1	1	86400	1000.0
Plantae	6	Bryophyta	35	Bryopsida	327	Hypnales	617	Amblystegiaceae	4650	Tomentypnum	2673198	Tomentypnum nitens	2680053	2021	1kmE5061N2272	4	4	4	4	2	1	1	86400	1000.0
Plantae	6	Bryophyta	35	Bryopsida	327	Dicranales	1335	Fissidentaceae	4643	Fissidens	2673216	Fissidens adianthoides	5281267	2021	1kmE5066N2268	3	3	3	1	1	1	1	86400	1000.0
Plantae	6	Bryophyta	35	Bryopsida	327	Dicranales	1335	Fissidentaceae	4643	Fissidens	2673216	Fissidens adianthoides	5281267	2021	1kmE5067N2268	1	1	1	1	1	1	1	86400	1000.0
Plantae	6	Bryophyta	35	Bryopsida	327	Dicranales	1335	Fissidentaceae	4643	Fissidens	2673216	Fissidens bryoides	5283004	2024	1kmE5079N2149	1	1	1	1	1	1	1	60	2.0
Plantae	6	Bryophyta	35	Bryopsida	327	Hypnales	617	Myuriaceae	6347	Ctenidium	2673308	Ctenidium molluscum	2682534	2025	1kmE5023N2190	2	2	2	2	1	1	1	1	7.0
Plantae	6	Bryophyta	35	Bryopsida	327	Hypnales	617	Myuriaceae	6347	Ctenidium	2673308	Ctenidium molluscum	2682534	2024	1kmE5061N2270	2	2	2	2	1	1	1	1	10.0
Plantae	6	Bryophyta	35	Bryopsida	327	Hypnales	617	Myuriaceae	6347	Ctenidium	2673308	Ctenidium molluscum	2682534	2024	1kmE5061N2271	6	6	5	5	1	1	1	1	10.0
Plantae	6	Bryophyta	35	Bryopsida	327	Hypnales	617	Myuriaceae	6347	Ctenidium	2673308	Ctenidium molluscum	2682534	2024	1kmE5061N2272	4	4	4	3	1	1	1	1	1.0
Plantae	6	Bryophyta	35	Bryopsida	327	Hypnales	617	Myuriaceae	6347	Ctenidium	2673308	Ctenidium molluscum	2682534	2016	1kmE5063N2182	5	5	5	3	1	1	1	86400	1000.0
Plantae	6	Bryophyta	35	Bryopsida	327	Hypnales	617	Myuriaceae	6347	Ctenidium	2673308	Ctenidium molluscum	2682534	2024	1kmE5071N2184	2	2	2	2	1	1	1	1	1.0
Plantae	6	Bryophyta	35	Bryopsida	327	Hypnales	617	Myuriaceae	6347	Ctenidium	2673308	Ctenidium molluscum	2682534	2024	1kmE5094N2144	2	2	2	2	1	1	1	60	2.0
Plantae	6	Bryophyta	35	Bryopsida	327	Hypnales	617	Myuriaceae	6347	Ctenidium	2673308	Ctenidium molluscum	2682534	2024	1kmE5104N2250	1	1	1	1	1	1	1	1	1000.0
Plantae	6	Bryophyta	35	Bryopsida	327	Hypnales	617	Myuriaceae	6347	Ctenidium	2673308	Ctenidium molluscum	2682534	2024	1kmE5129N2209	3	3	3	1	1	1	1	1	4.0
Plantae	6	Bryophyta	35	Bryopsida	327	Hypnales	617	Fontinalaceae	8756	Fontinalis	2673403	Fontinalis antipyretica	2673408	2023	1kmE5040N2184	1	1	1	1	1	1	1	60	4.0
Plantae	6	Bryophyta	35	Bryopsida	327	Hypnales	617	Fontinalaceae	8756	Fontinalis	2673403	Fontinalis antipyretica	2673408	2024	1kmE5046N2174	3	3	3	1	1	1	1	60	2.0
Plantae	6	Bryophyta	35	Bryopsida	327	Hypnales	617	Fontinalaceae	8756	Fontinalis	2673403	Fontinalis hypnoides	2678785	2016	1kmE5063N2182	5	5	5	3	1	1	1	86400	1000.0
Plantae	6	Bryophyta	35	Bryopsida	327	Hypnales	617	Fontinalaceae	8756	Fontinalis	2673403	Fontinalis antipyretica	2673408	2024	1kmE5078N2195	1	1	1	1	1	1	1	60	2.0
